1773899509.600969 server started (4143): version 3.6, socket /tmp/tmux-1001/default, protocol 8
1773899509.600980 on Linux 5.15.0-139-generic #149~20.04.1-Ubuntu SMP Wed Apr 16 08:29:56 UTC 2025
1773899509.600984 using libevent 2.1.12-stable poll
1773899509.600986 using ncurses 6.5 20240427
1773899509.601170 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1773899509.601172 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1773899509.601174 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1773899509.601176 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1773899509.601178 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1773899509.601179 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1773899509.601181 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1773899509.601183 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1773899509.601185 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1773899509.601187 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1773899509.601188 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1773899509.601190 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1773899509.601192 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1773899509.601194 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1773899509.601196 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1773899509.601199 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1773899509.601201 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1773899509.601203 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1773899509.601205 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1773899509.601207 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1773899509.601208 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1773899509.601210 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1773899509.601212 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1773899509.601214 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1773899509.601216 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1773899509.601218 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1773899509.601220 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1773899509.601222 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1773899509.601224 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1773899509.601226 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1773899509.601228 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1773899509.601229 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1773899509.601232 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1773899509.601234 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1773899509.601236 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1773899509.601238 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1773899509.601239 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1773899509.601241 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1773899509.601243 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1773899509.601245 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1773899509.601247 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1773899509.601251 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1773899509.601253 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1773899509.601255 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1773899509.601256 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1773899509.601258 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1773899509.601260 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1773899509.601262 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1773899509.601264 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1773899509.601266 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1773899509.601268 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1773899509.601270 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1773899509.601272 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1773899509.601274 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1773899509.601276 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1773899509.601278 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1773899509.601279 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1773899509.601281 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1773899509.601283 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1773899509.601286 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1773899509.601288 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1773899509.601289 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1773899509.601291 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1773899509.601293 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1773899509.601295 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1773899509.601297 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1773899509.601299 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1773899509.601301 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1773899509.601302 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1773899509.601304 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1773899509.601306 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1773899509.601308 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1773899509.601310 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1773899509.601312 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1773899509.601314 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1773899509.601316 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1773899509.601318 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1773899509.601320 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1773899509.601322 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1773899509.601325 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1773899509.601327 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1773899509.601329 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1773899509.601331 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1773899509.601333 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1773899509.601335 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1773899509.601337 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1773899509.601339 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1773899509.601340 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1773899509.601342 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1773899509.601344 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1773899509.601346 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1773899509.601348 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1773899509.601350 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1773899509.601352 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1773899509.601354 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1773899509.601357 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1773899509.601359 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1773899509.601361 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1773899509.601364 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1773899509.601365 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1773899509.601367 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1773899509.601369 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1773899509.601371 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1773899509.601373 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1773899509.601375 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1773899509.601377 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1773899509.601378 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1773899509.601380 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1773899509.601382 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1773899509.601384 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1773899509.601386 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1773899509.601388 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1773899509.601390 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1773899509.601392 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1773899509.601394 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1773899509.601396 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1773899509.601398 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1773899509.601400 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1773899509.601402 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1773899509.601404 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1773899509.601405 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1773899509.601407 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1773899509.601409 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1773899509.601411 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1773899509.601413 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1773899509.601415 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1773899509.601417 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1773899509.601419 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1773899509.601421 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1773899509.601423 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1773899509.601425 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1773899509.601427 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1773899509.601429 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1773899509.601430 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1773899509.601432 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1773899509.601434 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1773899509.601436 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1773899509.601438 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1773899509.601440 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1773899509.601442 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1773899509.601443 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1773899509.601445 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1773899509.601463 yylex_token: end at WS
1773899509.601465 yylex_token: bind
1773899509.601468 yylex_token: end at WS
1773899509.601469 yylex_token: -N
1773899509.601472 yylex_token: end at WS
1773899509.601473 yylex_token: Send the prefix key
1773899509.601475 yylex_token: end at WS
1773899509.601477 yylex_token: C-b
1773899509.601478 yylex_token: end at WS
1773899509.601480 yylex_token: send-prefix
1773899509.601486 cmd_parse_build_commands 0:0: bind
1773899509.601490 cmd_parse_build_commands 0:1: -N
1773899509.601493 cmd_parse_build_commands 0:2: Send the prefix key
1773899509.601494 cmd_parse_build_commands 0:3: C-b
1773899509.601496 cmd_parse_build_commands 0:4 0:0: send-prefix
1773899509.601501 cmd_parse_build_commands 0:0: send-prefix
1773899509.601507 args_parse: flags end at 1 of 1
1773899509.601509 cmd_parse_build_commands: send-prefix
1773899509.601511 args_parse_flags: next -N
1773899509.601513 args_parse_flag_argument: -N = Send the prefix key
1773899509.601515 args_parse_flags: next C-b
1773899509.601517 args_parse: flags end at 3 of 5
1773899509.601519 args_parse: 3 = C-b (type STRING)
1773899509.601521 args_parse: 4 = send-prefix (type COMMANDS)
1773899509.601526 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1773899509.601529 cmdq_get_command: [bind-key/0x55b5d8784230] group 10
1773899509.601531 cmdq_append <global>: [bind-key/0x55b5d8784230]
1773899509.601533 yylex_token: end at WS
1773899509.601534 yylex_token: bind
1773899509.601536 yylex_token: end at WS
1773899509.601537 yylex_token: -N
1773899509.601539 yylex_token: end at WS
1773899509.601540 yylex_token: Rotate through the panes
1773899509.601542 yylex_token: end at WS
1773899509.601543 yylex_token: C-o
1773899509.601545 yylex_token: end at WS
1773899509.601546 yylex_token: rotate-window
1773899509.601549 cmd_parse_build_commands 0:0: bind
1773899509.601551 cmd_parse_build_commands 0:1: -N
1773899509.601553 cmd_parse_build_commands 0:2: Rotate through the panes
1773899509.601555 cmd_parse_build_commands 0:3: C-o
1773899509.601556 cmd_parse_build_commands 0:4 0:0: rotate-window
1773899509.601559 cmd_parse_build_commands 0:0: rotate-window
1773899509.601561 args_parse: flags end at 1 of 1
1773899509.601563 cmd_parse_build_commands: rotate-window
1773899509.601565 args_parse_flags: next -N
1773899509.601567 args_parse_flag_argument: -N = Rotate through the panes
1773899509.601568 args_parse_flags: next C-o
1773899509.601570 args_parse: flags end at 3 of 5
1773899509.601571 args_parse: 3 = C-o (type STRING)
1773899509.601573 args_parse: 4 = rotate-window (type COMMANDS)
1773899509.601577 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1773899509.601579 cmdq_get_command: [bind-key/0x55b5d8784880] group 18
1773899509.601581 cmdq_append <global>: [bind-key/0x55b5d8784880]
1773899509.601584 yylex_token: end at WS
1773899509.601585 yylex_token: bind
1773899509.601587 yylex_token: end at WS
1773899509.601588 yylex_token: -N
1773899509.601590 yylex_token: end at WS
1773899509.601591 yylex_token: Suspend the current client
1773899509.601593 yylex_token: end at WS
1773899509.601594 yylex_token: C-z
1773899509.601596 yylex_token: end at WS
1773899509.601597 yylex_token: suspend-client
1773899509.601599 cmd_parse_build_commands 0:0: bind
1773899509.601601 cmd_parse_build_commands 0:1: -N
1773899509.601602 cmd_parse_build_commands 0:2: Suspend the current client
1773899509.601604 cmd_parse_build_commands 0:3: C-z
1773899509.601606 cmd_parse_build_commands 0:4 0:0: suspend-client
1773899509.601608 cmd_parse_build_commands 0:0: suspend-client
1773899509.601611 args_parse: flags end at 1 of 1
1773899509.601613 cmd_parse_build_commands: suspend-client
1773899509.601614 args_parse_flags: next -N
1773899509.601616 args_parse_flag_argument: -N = Suspend the current client
1773899509.601618 args_parse_flags: next C-z
1773899509.601619 args_parse: flags end at 3 of 5
1773899509.601621 args_parse: 3 = C-z (type STRING)
1773899509.601622 args_parse: 4 = suspend-client (type COMMANDS)
1773899509.601626 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1773899509.601629 cmdq_get_command: [bind-key/0x55b5d8784e10] group 26
1773899509.601630 cmdq_append <global>: [bind-key/0x55b5d8784e10]
1773899509.601632 yylex_token: end at WS
1773899509.601633 yylex_token: bind
1773899509.601635 yylex_token: end at WS
1773899509.601636 yylex_token: -N
1773899509.601638 yylex_token: end at WS
1773899509.601641 yylex_token: Select next layout
1773899509.601643 yylex_token: end at WS
1773899509.601644 yylex_token: Space
1773899509.601645 yylex_token: end at WS
1773899509.601647 yylex_token: next-layout
1773899509.601649 cmd_parse_build_commands 0:0: bind
1773899509.601650 cmd_parse_build_commands 0:1: -N
1773899509.601652 cmd_parse_build_commands 0:2: Select next layout
1773899509.601653 cmd_parse_build_commands 0:3: Space
1773899509.601655 cmd_parse_build_commands 0:4 0:0: next-layout
1773899509.601657 cmd_parse_build_commands 0:0: next-layout
1773899509.601659 args_parse: flags end at 1 of 1
1773899509.601661 cmd_parse_build_commands: next-layout
1773899509.601663 args_parse_flags: next -N
1773899509.601665 args_parse_flag_argument: -N = Select next layout
1773899509.601666 args_parse_flags: next Space
1773899509.601667 args_parse: flags end at 3 of 5
1773899509.601669 args_parse: 3 = Space (type STRING)
1773899509.601671 args_parse: 4 = next-layout (type COMMANDS)
1773899509.601674 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1773899509.601676 cmdq_get_command: [bind-key/0x55b5d8785450] group 34
1773899509.601678 cmdq_append <global>: [bind-key/0x55b5d8785450]
1773899509.601681 yylex_token: end at WS
1773899509.601682 yylex_token: bind
1773899509.601684 yylex_token: end at WS
1773899509.601685 yylex_token: -N
1773899509.601687 yylex_token: end at WS
1773899509.601688 yylex_token: Break pane to a new window
1773899509.601690 yylex_token: end at WS
1773899509.601691 yylex_token: !
1773899509.601693 yylex_token: end at WS
1773899509.601694 yylex_token: break-pane
1773899509.601696 cmd_parse_build_commands 0:0: bind
1773899509.601697 cmd_parse_build_commands 0:1: -N
1773899509.601699 cmd_parse_build_commands 0:2: Break pane to a new window
1773899509.601700 cmd_parse_build_commands 0:3: !
1773899509.601702 cmd_parse_build_commands 0:4 0:0: break-pane
1773899509.601704 cmd_parse_build_commands 0:0: break-pane
1773899509.601706 args_parse: flags end at 1 of 1
1773899509.601708 cmd_parse_build_commands: break-pane
1773899509.601709 args_parse_flags: next -N
1773899509.601711 args_parse_flag_argument: -N = Break pane to a new window
1773899509.601712 args_parse_flags: next !
1773899509.601714 args_parse: flags end at 3 of 5
1773899509.601715 args_parse: 3 = ! (type STRING)
1773899509.601717 args_parse: 4 = break-pane (type COMMANDS)
1773899509.601721 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1773899509.601723 cmdq_get_command: [bind-key/0x55b5d8785a40] group 42
1773899509.601725 cmdq_append <global>: [bind-key/0x55b5d8785a40]
1773899509.601726 yylex_token: end at WS
1773899509.601727 yylex_token: bind
1773899509.601729 yylex_token: end at WS
1773899509.601730 yylex_token: -N
1773899509.601732 yylex_token: end at WS
1773899509.601733 yylex_token: Split window vertically
1773899509.601735 yylex_token: end at WS
1773899509.601736 yylex_token: "
1773899509.601737 yylex_token: end at WS
1773899509.601739 yylex_token: split-window
1773899509.601741 cmd_parse_build_commands 0:0: bind
1773899509.601742 cmd_parse_build_commands 0:1: -N
1773899509.601744 cmd_parse_build_commands 0:2: Split window vertically
1773899509.601745 cmd_parse_build_commands 0:3: "
1773899509.601747 cmd_parse_build_commands 0:4 0:0: split-window
1773899509.601749 cmd_parse_build_commands 0:0: split-window
1773899509.601752 args_parse: flags end at 1 of 1
1773899509.601754 cmd_parse_build_commands: split-window
1773899509.601755 args_parse_flags: next -N
1773899509.601757 args_parse_flag_argument: -N = Split window vertically
1773899509.601759 args_parse_flags: next "
1773899509.601760 args_parse: flags end at 3 of 5
1773899509.601761 args_parse: 3 = " (type STRING)
1773899509.601763 args_parse: 4 = split-window (type COMMANDS)
1773899509.601767 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1773899509.601769 cmdq_get_command: [bind-key/0x55b5d8785f50] group 50
1773899509.601771 cmdq_append <global>: [bind-key/0x55b5d8785f50]
1773899509.601772 yylex_token: end at WS
1773899509.601775 yylex_token: bind
1773899509.601777 yylex_token: end at WS
1773899509.601778 yylex_token: -N
1773899509.601780 yylex_token: end at WS
1773899509.601781 yylex_token: List all paste buffers
1773899509.601783 yylex_token: end at WS
1773899509.601784 yylex_token: #
1773899509.601785 yylex_token: end at WS
1773899509.601787 yylex_token: list-buffers
1773899509.601789 cmd_parse_build_commands 0:0: bind
1773899509.601790 cmd_parse_build_commands 0:1: -N
1773899509.601792 cmd_parse_build_commands 0:2: List all paste buffers
1773899509.601793 cmd_parse_build_commands 0:3: #
1773899509.601795 cmd_parse_build_commands 0:4 0:0: list-buffers
1773899509.601797 cmd_parse_build_commands 0:0: list-buffers
1773899509.601799 args_parse: flags end at 1 of 1
1773899509.601801 cmd_parse_build_commands: list-buffers
1773899509.601803 args_parse_flags: next -N
1773899509.601804 args_parse_flag_argument: -N = List all paste buffers
1773899509.601806 args_parse_flags: next #
1773899509.601807 args_parse: flags end at 3 of 5
1773899509.601809 args_parse: 3 = # (type STRING)
1773899509.601810 args_parse: 4 = list-buffers (type COMMANDS)
1773899509.601814 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1773899509.601816 cmdq_get_command: [bind-key/0x55b5d8786660] group 58
1773899509.601818 cmdq_append <global>: [bind-key/0x55b5d8786660]
1773899509.601820 yylex_token: end at WS
1773899509.601822 yylex_token: bind
1773899509.601823 yylex_token: end at WS
1773899509.601824 yylex_token: -N
1773899509.601826 yylex_token: end at WS
1773899509.601828 yylex_token: Rename current session
1773899509.601829 yylex_token: end at WS
1773899509.601830 yylex_token: $
1773899509.601832 yylex_token: end at WS
1773899509.601833 yylex_token: command-prompt
1773899509.601835 yylex_token: end at WS
1773899509.601836 yylex_token: -I#S
1773899509.601837 yylex_token: end at WS
1773899509.601839 yylex_token: rename-session
1773899509.601840 yylex_token: end at WS
1773899509.601841 yylex_token: --
1773899509.601843 yylex_token: end at WS
1773899509.601844 yylex_token: %%
1773899509.601846 cmd_parse_build_commands 0:0: bind
1773899509.601848 cmd_parse_build_commands 0:1: -N
